Dashboard#stop;Deployer#stop;DataCollector#stop;Planner#stop;Discoverer#stop;MonitorDashboard#stop;SLAService#stop;MonitorManager#stop;Discoverer#start;MonitorDashboard#start;MonitorManager#start;Deployer#start;DataCollector#re-start;SLAService#start;Planner#re-start;Dashboard#re-start
2.124;107.834;0.852;2.951;41.326;65.507;71.394;111.603;481.136;412.832;447.139;451.54;463.356;535.64;607.609;623.77
0.816;51.165;49.336;1.627;45.679;62.851;62.981;107.685;459.678;391.951;418.531;426.132;434.781;636.342;701.176;718.49
0.785;106.028;0.796;1.6;37.351;71.12;72.026;112.471;451.699;383.782;420.822;420.027;436.963;495.28;573.148;589.605
2.21;44.765;0.845;3.055;44.503;80.73;76.523;119.159;488.234;394.057;427.157;430.043;443.607;513.293;581.286;598.296
2.161;47.223;0.854;3.054;43.438;83.147;64.042;107.417;429.426;370.889;417.39;401.467;434.222;495.716;560.632;576.736
0.869;109.589;1.025;1.91;43.758;81.56;63.479;107.742;440.497;391.704;414.248;415.842;430.777;486.1;555.03;572.494
2.178;117.76;0.822;3.032;41.003;80.464;58.12;102.082;459.177;394.632;420.912;427.85;437.263;491.883;563.539;579.852
0.806;104.7;0.797;1.631;41.435;59.051;58.798;103.571;432.996;366.232;403.39;403.665;419.296;538.553;606.566;624.459
0.826;105.263;0.82;1.733;46.218;65.436;64.779;107.97;470.978;381.129;429.093;403.351;445.632;523.659;588.482;604.82
3.177;50.492;1.56;4.774;43.095;81.06;61.026;105.241;561.848;389.396;456.593;422.723;479.766;556.307;630.944;650.839
0.822;44.004;0.92;1.614;38.772;56.904;56.707;101.439;470.492;375.355;408.85;428.397;425.858;488.323;556.275;572.778
0.823;45.968;0.849;1.626;38.652;62.551;62.645;106.322;436.723;369.626;431.924;403.909;448.192;510.589;578.477;595.172
0.817;45.114;2.47;1.633;43.45;62.934;62.562;105.522;435.641;368.322;399.62;433.694;416.085;473.278;551.329;567.586
1.009;45.957;0.999;1.991;35.61;60.456;60.601;105.889;551.18;450.365;480.033;485.314;496.936;676.059;745.644;763.743
0.815;107.104;0.839;1.851;41.436;64.347;64.371;106.91;545.443;478.91;498.14;533.181;515.981;585.268;651.113;668.456
2.201;108.589;0.828;3.052;44.072;82.178;72.063;114.493;454.762;425.332;443.41;423.353;460.276;548.029;619.909;637.819
0.8;105.74;0.81;1.616;41.986;65.535;65.858;109.134;443.298;376.536;410.59;413.808;426.863;497.4;562.268;578.621
0.802;107.68;0.816;1.604;38.453;59.981;58.463;100.331;451.61;372.356;422.871;409.917;439.211;497.762;565.662;581.95
2.251;109.17;0.805;3.126;40.618;63.587;62.601;103.552;490.728;393.114;439.103;416.741;455.444;522.677;606.558;623.017
2.152;46.408;0.835;3.015;42.738;84.142;64.148;108.933;434.32;385.318;413.806;419.808;430.032;494.953;565.766;582.211
0.788;119.412;0.855;1.654;38.523;58.611;59.871;102.633;459.719;386.927;418.695;410.987;435.016;505.392;573.393;589.569
0.814;108.117;0.889;1.612;41.378;61.914;62.189;104.413;462.662;378.802;413.828;456.566;430.79;512.491;581.26;597.619
0.825;106.508;0.806;1.703;38.637;65.801;66.557;108.741;428.032;364.04;392.061;400.617;408.132;461.172;531.918;549.455
