Dashboard#stop;Dashboard#start
55.685;464.5
62.72;454.673
62.23;462.988
64.085;487.068
62.267;495.166
60.965;459.016
64.022;472.12
58.091;454.806
63.49;453.414
63.938;450.634
56.945;463.667
59.503;449.11
60.772;461.568
57.895;457.11
63.156;490.746
56.833;471.277
56.936;464.265
60.6;466.013
65.208;461.775
61.861;461.279
56.05;456.232
62.771;462.821
59.824;467.409
72.449;484.264
58.497;456.195
48.564;434.774
48.574;451.822
49.692;434.044
48.53;438.494
50.061;456.716
49.222;470.438
48.895;424.606
49.508;441.587
49.549;454.773
55.195;461.739
49.658;430.38
53.006;452.442
53.643;445.413
57.328;448.672
53.665;455.259
54.811;442.737
54.382;458.353
57.572;447.647
55.476;446.695
61.434;446.901
58.993;458.202
71.78;473.081
57.166;682.89
56.747;454.175
57.09;446.28
52.602;441.921
54.349;440.46
53.217;441.958
52.373;449.683
56.559;446.129
53.569;447.696
59.83;850.778
55.12;456.02
62.149;451.536
56.77;451.512
58.557;463.25
59.929;438.312
55.359;552.769
64.271;449.553
67.421;456.886
52.47;441.931
61.716;444.969
54.135;461.611
58.535;445.403
77.886;506.645
71.208;492.321
76.856;498.748
62.059;498.777
66.072;486.371
62.962;486.379
69.552;500.596
74.769;515.33
72.422;530.116
58.372;462.867
75.511;495.034
62.757;476.564
64.794;499.923
64.001;470.864
68.746;477.941
72.646;468.378
70.973;466.559
79.047;471.544
61.397;464.632
77.029;473.41
65.245;472.367
72.521;511.562
71.495;462.664
61.599;451.908
73.529;469.423
61.928;461.75
72.419;500.05
62.949;464.325
82.491;482.509
77.761;483.874
62.791;471.146
