SLAService#start;Discoverer#start;MonitorDashboard#start;MonitorManager#start;Deployer#start;Dashboard#stop;Planner#stop;DataCollector#stop;SLAService#stop;SLAService#re-start;DataCollector#re-start;Planner#re-start;Dashboard#re-start;Discoverer#release;MonitorDashboard#release;MonitorManager#release;SLAService#release;Deployer#release
70.949;357.896;283.206;337.001;317.649;360.059;362.584;360.144;363.817;374.723;377.68;451.282;466.696;501.496;520.98;500.876;521.327;502.295
75.103;368.663;292.278;315.345;316.801;370.835;373.499;370.84;374.387;390.295;387.985;460.924;475.783;515.614;527.839;512.574;526.873;512.428
107.467;372.456;287.516;321.044;320.331;374.569;376.799;374.576;377.68;393.57;393.035;470.056;539.441;575.071;595.014;578.917;594.095;575.144
117.561;363.767;281.294;328.999;346.036;366.005;368.518;365.95;369.536;430.519;383.669;498.135;513.569;549.419;568.0;547.943;568.777;548.043
121.12;376.986;276.911;303.393;341.775;379.315;381.716;379.171;382.591;401.418;397.827;390.951;459.594;509.269;519.828;504.972;520.445;509.78
82.437;351.555;283.189;330.874;315.183;353.745;356.081;353.783;357.083;370.917;370.637;435.429;500.058;533.637;550.662;533.587;550.385;537.392
68.019;350.257;286.938;313.576;322.624;352.392;354.751;352.433;355.644;369.453;369.327;427.742;435.585;479.993;495.863;482.015;495.987;481.166
71.707;365.994;302.748;321.684;343.772;368.149;370.611;368.198;371.633;385.463;385.579;454.979;469.933;504.302;540.873;505.744;541.125;505.831
74.293;340.141;275.484;305.278;344.519;346.642;349.021;346.671;350.816;367.679;364.979;419.346;426.997;470.533;487.566;472.679;487.539;474.31
73.99;352.377;281.499;322.505;322.27;354.534;356.987;354.627;357.964;373.945;373.191;441.394;456.405;489.753;508.012;490.484;507.238;492.043
62.141;335.352;269.892;306.075;310.749;337.644;340.043;337.595;340.994;357.944;354.755;431.466;447.915;502.648;499.553;483.709;501.478;485.646
58.716;331.116;267.309;299.813;317.659;333.33;335.609;333.24;336.729;352.633;350.38;420.153;435.07;471.59;492.666;469.749;493.546;471.115
58.412;338.179;270.597;311.182;316.986;340.305;343.037;340.387;344.063;357.852;357.962;427.37;442.551;476.147;496.756;479.876;495.985;478.115
65.456;469.131;371.767;410.653;443.449;471.328;473.781;471.332;474.832;487.657;490.108;543.331;565.688;599.598;620.977;599.356;621.559;603.565
62.168;345.647;263.061;312.595;311.849;347.884;350.282;347.866;351.207;361.076;365.022;425.456;440.85;473.443;491.1;476.42;491.771;480.84
70.257;348.504;290.335;329.994;318.907;350.708;353.137;350.681;354.051;370.889;368.615;434.351;450.263;486.213;503.063;486.605;503.934;485.562
68.823;355.916;285.085;346.421;318.412;358.138;360.597;358.39;361.725;375.618;376.216;449.244;464.937;500.009;520.457;499.909;519.102;500.014
65.884;375.047;290.581;318.727;321.527;377.259;379.574;377.174;380.607;396.471;394.314;463.052;478.55;512.412;536.62;514.763;536.519;514.464
68.774;365.693;285.831;313.067;344.88;367.904;370.241;367.801;371.254;387.073;387.513;457.554;473.492;509.372;526.115;509.387;526.342;509.496
75.339;401.046;338.085;371.671;365.161;403.27;405.671;403.281;406.653;423.556;420.248;487.01;502.016;537.082;554.381;536.923;553.447;534.964
84.398;356.067;279.766;299.807;303.711;358.295;360.811;358.325;361.716;377.633;376.26;445.238;461.189;497.594;514.256;500.086;512.371;501.568
75.488;370.772;277.789;319.798;310.353;372.903;375.242;372.961;376.205;390.059;389.756;454.615;469.89;505.725;529.547;508.264;528.685;505.851
76.393;336.042;270.212;306.986;343.805;345.922;348.383;345.983;349.353;364.306;363.458;429.025;444.679;479.412;496.109;479.824;499.367;481.196
115.308;343.057;281.42;316.324;305.292;345.216;347.502;345.246;348.421;363.337;361.966;433.838;448.761;485.278;500.403;485.252;499.384;485.423
85.509;390.268;287.438;322.09;324.823;392.421;394.869;392.488;395.825;411.648;410.788;488.08;504.371;541.002;559.985;540.994;557.57;542.754
