Planner#start;DataCollector#start;Dashboard#stop;Dashboard#re-start;DataCollector#release;Planner#release
116.958;299.834;302.05;315.654;379.959;338.998
155.86;342.67;344.855;358.738;418.209;380.978
116.422;327.682;329.925;344.937;407.389;366.071
127.856;321.225;323.471;337.223;393.971;365.26
110.036;304.689;306.848;320.341;396.87;344.92
114.37;417.8;420.031;434.054;491.143;456.141
111.729;314.242;316.381;330.0;400.564;352.796
133.234;337.871;340.064;353.657;417.702;376.124
249.811;307.311;309.581;324.213;387.993;346.158
116.77;304.771;306.988;320.757;377.892;350.456
107.011;1082.838;1085.039;1098.664;1164.391;1120.846
101.323;308.265;310.453;324.078;380.192;348.169
200.019;300.919;303.256;318.836;378.093;346.075
184.504;313.983;316.141;329.592;391.211;351.581
106.937;320.06;322.221;337.38;392.613;357.949
111.014;331.542;333.665;347.166;403.139;368.274
113.992;315.132;317.294;330.899;387.477;356.553
98.418;338.591;340.754;355.622;415.343;376.425
100.218;308.045;310.323;324.522;376.071;345.762
105.093;337.581;339.743;354.102;409.47;376.057
109.285;342.228;344.419;358.281;406.61;381.486
105.006;296.419;298.669;312.374;362.186;334.372
104.501;311.033;313.159;326.648;432.378;350.153
123.853;297.871;299.982;314.575;370.084;336.399
112.576;318.329;320.533;335.52;383.23;361.437
94.216;297.947;300.129;313.68;367.036;335.287
104.886;306.784;309.034;322.695;375.668;345.205
159.661;307.221;309.444;322.923;376.774;345.322
154.231;313.412;315.566;329.211;384.618;351.425
163.534;306.15;308.315;323.854;381.415;354.911
149.759;308.883;311.006;324.564;378.444;345.193
161.147;304.152;306.421;322.202;379.218;344.406
157.095;301.209;303.271;316.809;378.53;339.597
164.855;300.605;302.762;316.483;369.629;342.646
142.307;295.427;297.478;311.641;366.718;332.887
114.573;297.454;299.777;313.764;369.033;336.1
107.1;313.256;315.546;329.129;384.672;351.317
119.95;310.696;312.952;326.666;378.38;349.366
98.254;311.298;313.41;327.212;382.169;349.625
108.328;298.878;301.039;315.54;370.265;337.514
106.064;303.819;306.109;319.757;373.454;342.073
105.9;298.831;301.117;314.879;367.497;337.398
114.27;327.72;329.932;344.353;396.923;365.405
137.44;317.126;339.379;354.106;408.219;376.627
108.081;314.059;316.253;331.118;386.396;354.751
121.573;293.851;296.04;311.124;372.662;333.746
116.567;300.42;318.282;332.022;386.785;354.441
210.12;310.683;312.898;326.965;400.35;349.915
158.462;313.389;315.529;329.081;390.75;352.207
159.51;307.437;309.538;323.76;415.908;345.969
161.55;312.782;315.0;329.204;408.841;350.496
163.273;345.721;347.864;361.523;421.518;383.092
215.32;345.1;347.188;362.582;439.839;385.047
129.105;316.023;318.202;331.921;397.24;355.258
110.236;311.579;313.668;326.94;388.667;349.206
163.971;348.4;350.621;364.294;424.928;386.081
190.994;298.566;300.953;315.914;375.781;337.643
105.911;309.081;311.418;325.182;397.877;348.329
119.905;326.048;328.199;341.843;422.906;364.68
128.54;313.379;315.562;329.132;392.117;352.148
157.574;318.937;321.159;334.728;414.575;358.338
139.753;318.624;320.904;336.14;410.613;358.525
112.44;326.687;328.912;342.636;420.592;365.499
121.654;404.46;406.649;421.567;482.903;444.779
119.751;316.805;318.946;333.593;408.444;357.374
108.433;317.093;319.309;333.996;396.614;355.272
114.103;316.813;318.917;332.445;411.08;354.491
125.942;299.421;301.594;317.182;378.341;349.252
107.687;321.168;323.324;337.157;398.079;361.862
121.367;317.859;319.983;334.103;396.059;356.86
106.793;347.115;349.32;363.077;436.624;387.003
106.986;311.421;313.643;328.115;407.924;351.366
106.035;315.486;317.685;331.432;405.261;352.973
117.039;302.448;304.766;321.167;381.432;346.574
120.028;324.352;326.467;340.735;409.424;364.948
120.381;306.865;309.075;322.651;384.009;347.459
117.66;321.25;323.457;336.898;410.312;358.43
99.643;313.096;315.363;328.948;403.139;351.704
126.062;298.092;300.345;315.439;376.947;340.017
103.692;316.77;318.865;332.054;405.184;360.958
102.193;318.928;321.04;335.882;404.691;357.274
104.698;319.688;321.876;335.949;405.968;357.572
109.972;315.289;317.471;333.239;402.224;358.71
128.28;306.205;308.405;324.898;386.102;346.821
108.451;316.242;318.374;332.428;402.799;354.502
106.426;300.859;303.007;316.71;388.407;338.703
114.616;318.218;320.436;334.993;406.148;356.077
106.769;316.533;318.81;332.781;414.261;355.231
124.146;313.499;315.755;329.741;392.265;368.493
117.817;311.897;314.029;328.223;384.135;350.141
91.395;387.096;389.296;403.64;470.83;425.267
97.121;310.315;312.585;327.888;388.124;350.092
107.778;318.334;320.561;334.206;396.45;356.779
102.835;321.141;323.392;337.174;399.521;359.012
98.845;307.792;310.006;324.469;392.587;345.501
121.937;339.015;341.149;354.884;415.74;376.244
99.685;308.718;310.905;324.299;383.338;345.73
114.188;307.121;309.395;324.395;390.732;346.903
108.081;311.508;313.755;327.523;391.05;348.829
101.519;310.381;312.607;327.062;387.888;351.22
